sec6-res-util-lego-c4m2,,1122,,lego,,4,,481,,585,,180,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c4m2,,1127,,lego,,4,,421,,526,,120,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c4m2,,1132,,lego,,4,,418,,522,,115,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c4m2,,1136,,lego,,4,,419,,519,,112,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c4m2,,1139,,lego,,4,,418,,518,,111,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c4m2,,1143,,lego,,4,,418,,509,,102,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c4m2,,1147,,lego,,4,,418,,517,,130,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c4m2,,1151,,lego,,4,,416,,475,,68,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1154,,lego,,4,,417,,475,,69,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1156,,lego,,4,,416,,480,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1159,,lego,,4,,417,,510,,104,,1.0,,Cannot find grey area, maybe image blurred
sec6-res-util-lego-c4m2,,1162,,lego,,4,,418,,482,,76,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1165,,lego,,4,,417,,479,,72,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1167,,lego,,4,,417,,480,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1170,,lego,,4,,416,,478,,71,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1173,,lego,,4,,416,,471,,64,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1175,,lego,,4,,416,,487,,80,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1178,,lego,,4,,416,,467,,60,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1180,,lego,,4,,415,,465,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1182,,lego,,4,,415,,466,,60,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1184,,lego,,4,,418,,468,,62,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1186,,lego,,4,,416,,467,,60,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1189,,lego,,4,,416,,467,,60,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1191,,lego,,4,,416,,466,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1193,,lego,,4,,416,,465,,115,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1197,,lego,,4,,422,,479,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1200,,lego,,4,,416,,851,,518,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1216,,lego,,4,,416,,847,,499,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1231,,lego,,4,,418,,837,,502,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1246,,lego,,4,,417,,843,,485,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1262,,lego,,4,,417,,860,,499,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1277,,lego,,4,,418,,891,,578,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1295,,lego,,4,,418,,858,,488,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1311,,lego,,4,,418,,929,,600,,1.0,,[[0 0 1 6]
 [2 2 2 2]]
sec6-res-util-lego-c4m2,,1329,,lego,,4,,418,,902,,589,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1348,,lego,,4,,417,,892,,588,,1.0,,Not confident about reconstruction, maybe too much noise
sec6-res-util-lego-c4m2,,1366,,lego,,4,,416,,444,,37,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1368,,lego,,4,,416,,444,,37,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1369,,lego,,4,,415,,445,,38,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1371,,lego,,4,,415,,443,,36,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1372,,lego,,4,,415,,440,,33,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1374,,lego,,4,,417,,445,,38,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1375,,lego,,4,,417,,446,,39,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1377,,lego,,4,,416,,446,,40,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1378,,lego,,4,,418,,448,,41,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1380,,lego,,4,,418,,449,,42,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1382,,lego,,4,,418,,450,,43,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1384,,lego,,4,,417,,449,,42,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1385,,lego,,4,,417,,450,,44,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1387,,lego,,4,,418,,455,,50,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1389,,lego,,4,,419,,452,,45,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1391,,lego,,4,,416,,449,,42,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1393,,lego,,4,,417,,448,,41,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1394,,lego,,4,,416,,447,,40,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1396,,lego,,4,,417,,450,,41,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1398,,lego,,4,,414,,445,,38,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1399,,lego,,4,,416,,456,,49,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1401,,lego,,4,,416,,460,,54,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1403,,lego,,4,,417,,454,,48,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1405,,lego,,4,,416,,449,,47,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,1407,,lego,,4,,416,,448,,41,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
