sec6-res-util-lego-c4m2,,292,,lego,,1,,557,,1031,,607,,0.999999999988,,[[2 2 2 2]]
sec6-res-util-lego-c4m2,,310,,lego,,1,,520,,1022,,574,,1.0,,[[2 2 2 2]]
sec6-res-util-lego-c4m2,,329,,lego,,1,,520,,989,,576,,1.0,,[[2 2 2 2]]
sec6-res-util-lego-c4m2,,347,,lego,,1,,520,,582,,74,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,350,,lego,,1,,520,,584,,76,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,353,,lego,,1,,520,,583,,75,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,356,,lego,,1,,520,,582,,75,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,360,,lego,,1,,520,,581,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,363,,lego,,1,,521,,583,,75,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,366,,lego,,1,,521,,588,,80,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,369,,lego,,1,,521,,571,,63,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,372,,lego,,1,,520,,583,,75,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,375,,lego,,1,,519,,586,,78,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,378,,lego,,1,,523,,579,,71,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,381,,lego,,1,,519,,561,,53,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,384,,lego,,1,,519,,1007,,587,,1.0,,[[2 2 2 2]]
sec6-res-util-lego-c4m2,,402,,lego,,1,,525,,964,,482,,1.0,,[[2 2 2 2]]!!State Change!!
sec6-res-util-lego-c4m2,,436,,lego,,1,,526,,555,,47,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,469,,lego,,1,,522,,559,,51,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,501,,lego,,1,,527,,566,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c4m2,,530,,lego,,1,,530,,982,,512,,1.0,,[[0 0 1 0]
 [2 2 2 2]]
sec6-res-util-lego-c4m2,,555,,lego,,1,,524,,971,,524,,1.0,,[[0 0 1 0]
 [2 2 2 2]]
sec6-res-util-lego-c4m2,,575,,lego,,1,,519,,594,,86,,1.0,,Cannot locate exact four board corners, probably because of occlusion
sec6-res-util-lego-c4m2,,594,,lego,,1,,528,,571,,63,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
