sec6-res-util-lego-c8m2,,1112,,lego,,4,,467,,567,,154,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1117,,lego,,4,,427,,509,,94,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1120,,lego,,4,,426,,528,,114,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1124,,lego,,4,,426,,530,,115,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1129,,lego,,4,,428,,530,,116,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1133,,lego,,4,,423,,498,,83,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1136,,lego,,4,,426,,527,,113,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1140,,lego,,4,,426,,500,,85,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1144,,lego,,4,,428,,531,,118,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1148,,lego,,4,,425,,524,,110,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c8m2,,1152,,lego,,4,,426,,482,,174,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1158,,lego,,4,,426,,478,,64,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1161,,lego,,4,,428,,490,,76,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1164,,lego,,4,,426,,478,,63,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1167,,lego,,4,,426,,475,,61,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1170,,lego,,4,,424,,481,,67,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1172,,lego,,4,,427,,474,,60,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1175,,lego,,4,,425,,477,,62,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1178,,lego,,4,,423,,473,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c8m2,,1180,,lego,,4,,423,,473,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
