sec6-res-util-lego-c6m2,,1290,,lego,,6,,622,,711,,137,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1294,,lego,,6,,586,,687,,113,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1298,,lego,,6,,585,,656,,82,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1302,,lego,,6,,589,,687,,115,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1306,,lego,,6,,586,,655,,81,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1309,,lego,,6,,586,,688,,114,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1314,,lego,,6,,588,,661,,144,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1319,,lego,,6,,587,,684,,109,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1323,,lego,,6,,586,,660,,86,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1327,,lego,,6,,587,,684,,110,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1331,,lego,,6,,585,,657,,82,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1335,,lego,,6,,586,,686,,112,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1339,,lego,,6,,587,,690,,118,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1344,,lego,,6,,589,,693,,119,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1348,,lego,,6,,587,,648,,73,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1351,,lego,,6,,586,,674,,100,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 2
sec6-res-util-lego-c6m2,,1355,,lego,,6,,587,,688,,114,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1360,,lego,,6,,585,,691,,117,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1364,,lego,,6,,586,,687,,113,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1368,,lego,,6,,586,,684,,110,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1373,,lego,,6,,586,,687,,113,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1377,,lego,,6,,586,,687,,112,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1381,,lego,,6,,585,,686,,111,,1.0,,Cannot find a large enough foreground near the center of board
sec6-res-util-lego-c6m2,,1385,,lego,,6,,587,,651,,77,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1389,,lego,,6,,587,,649,,77,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1392,,lego,,6,,588,,650,,76,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1395,,lego,,6,,585,,631,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1397,,lego,,6,,586,,643,,69,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1400,,lego,,6,,586,,636,,62,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1403,,lego,,6,,584,,618,,44,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1405,,lego,,6,,586,,636,,62,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1408,,lego,,6,,589,,624,,50,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1410,,lego,,6,,585,,633,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1413,,lego,,6,,584,,633,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1416,,lego,,6,,584,,634,,60,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1418,,lego,,6,,585,,627,,52,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1421,,lego,,6,,584,,633,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1423,,lego,,6,,584,,631,,57,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1426,,lego,,6,,587,,636,,62,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1429,,lego,,6,,583,,631,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1432,,lego,,6,,584,,631,,56,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1434,,lego,,6,,583,,632,,58,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1437,,lego,,6,,584,,632,,59,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
sec6-res-util-lego-c6m2,,1439,,lego,,6,,588,,637,,62,,1.0,,Cannot locate board border, maybe not the full board is in the scene. Failed at stage 1
