FrameID	EngineID	StartTime	CompressedTime	RecvTime	DoneTime	Status
1541126030851	1541126030999	1541126030854
1	Lego	1541126035524	1541126035562	1541126035599	1541126035605	success
2	Lego	1541126035824	1541126035863	1541126035912	1541126035912	nothing
3	Lego	1541126035912	1541126035935	1541126036037	1541126036037	nothing
4	Lego	1541126036038	1541126036091	1541126036252	1541126036252	nothing
5	Lego	1541126036252	1541126036276	1541126036341	1541126036342	nothing
6	Lego	1541126036342	1541126036384	1541126036441	1541126036441	nothing
7	Lego	1541126036441	1541126036486	1541126036526	1541126036526	nothing
8	Lego	1541126036527	1541126036561	1541126036622	1541126036622	nothing
9	Lego	1541126036622	1541126036657	1541126036724	1541126036724	nothing
10	Lego	1541126036724	1541126036760	1541126036901	1541126036901	nothing
11	Lego	1541126036902	1541126036957	1541126037050	1541126037050	nothing
12	Lego	1541126037051	1541126037093	1541126037282	1541126037282	nothing
13	Lego	1541126037283	1541126037324	1541126037586	1541126037586	nothing
14	Lego	1541126037587	1541126037629	1541126037831	1541126037831	nothing
15	Lego	1541126037831	1541126037863	1541126038201	1541126038201	nothing
16	Lego	1541126038202	1541126038256	1541126038610	1541126038610	nothing
17	Lego	1541126038611	1541126038659	1541126038875	1541126038875	nothing
18	Lego	1541126038875	1541126038920	1541126039054	1541126039054	nothing
19	Lego	1541126039054	1541126039100	1541126039205	1541126039205	nothing
20	Lego	1541126039206	1541126039254	1541126039328	1541126039329	nothing
21	Lego	1541126039329	1541126039373	1541126039635	1541126039635	nothing
22	Lego	1541126039635	1541126039662	1541126039831	1541126039831	nothing
23	Lego	1541126039831	1541126039862	1541126040006	1541126040006	nothing
24	Lego	1541126040007	1541126040056	1541126040239	1541126040239	nothing
25	Lego	1541126040239	1541126040277	1541126040454	1541126040454	nothing
26	Lego	1541126040454	1541126040484	1541126040616	1541126040616	nothing
27	Lego	1541126040617	1541126040669	1541126040854	1541126040854	nothing
28	Lego	1541126040854	1541126040877	1541126041025	1541126041025	nothing
29	Lego	1541126041026	1541126041064	1541126041158	1541126041158	nothing
30	Lego	1541126041158	1541126041200	1541126041479	1541126041479	nothing
31	Lego	1541126041480	1541126041536	1541126041711	1541126041711	nothing
32	Lego	1541126041712	1541126041762	1541126041978	1541126041979	nothing
33	Lego	1541126041979	1541126042030	1541126042296	1541126042296	nothing
34	Lego	1541126042296	1541126042333	1541126042478	1541126042478	nothing
35	Lego	1541126042479	1541126042532	1541126042708	1541126042708	nothing
36	Lego	1541126042709	1541126042750	1541126043117	1541126043117	nothing
37	Lego	1541126043117	1541126043144	1541126043356	1541126043357	nothing
38	Lego	1541126043359	1541126043400	1541126043733	1541126043733	nothing
39	Lego	1541126043733	1541126043777	1541126044140	1541126044140	nothing
40	Lego	1541126044141	1541126044179	1541126044551	1541126044551	nothing
41	Lego	1541126044552	1541126044605	1541126044807	1541126044808	nothing
42	Lego	1541126044808	1541126044847	1541126045268	1541126045268	nothing
43	Lego	1541126045268	1541126045314	1541126045542	1541126045542	nothing
44	Lego	1541126045542	1541126045582	1541126045984	1541126045984	nothing
45	Lego	1541126045984	1541126046015	1541126046393	1541126046393	nothing
46	Lego	1541126046394	1541126046435	1541126046802	1541126046802	nothing
47	Lego	1541126046802	1541126046844	1541126047109	1541126047109	nothing
48	Lego	1541126047110	1541126047149	1541126047520	1541126047520	nothing
49	Lego	1541126047520	1541126047558	1541126047930	1541126047930	nothing
50	Lego	1541126047930	1541126047957	1541126048442	1541126048442	nothing
51	Lego	1541126048442	1541126048480	1541126048851	1541126048851	nothing
52	Lego	1541126048851	1541126048890	1541126049260	1541126049260	nothing
53	Lego	1541126049261	1541126049303	1541126049670	1541126049670	nothing
54	Lego	1541126049670	1541126049712	1541126050080	1541126050080	nothing
55	Lego	1541126050080	1541126050108	1541126050489	1541126050489	nothing
56	Lego	1541126050490	1541126050530	1541126050753	1541126050753	nothing
57	Lego	1541126050753	1541126050782	1541126051105	1541126051105	nothing
58	Lego	1541126051105	1541126051138	1541126051331	1541126051332	nothing
59	Lego	1541126051332	1541126051358	1541126051615	1541126051615	nothing
60	Lego	1541126051615	1541126051645	1541126051909	1541126051909	nothing
61	Lego	1541126051909	1541126051937	1541126052137	1541126052137	nothing
62	Lego	1541126052137	1541126052160	1541126052437	1541126052437	nothing
63	Lego	1541126052437	1541126052494	1541126052844	1541126052844	nothing
64	Lego	1541126052844	1541126052887	1541126053254	1541126053254	nothing
65	Lego	1541126053255	1541126053301	1541126053664	1541126053664	nothing
66	Lego	1541126053664	1541126053694	1541126053973	1541126053973	nothing
67	Lego	1541126053973	1541126054021	1541126054689	1541126054689	nothing
68	Lego	1541126054689	1541126054734	1541126054914	1541126054914	nothing
69	Lego	1541126054914	1541126054957	1541126055302	1541126055302	nothing
70	Lego	1541126055302	1541126055332	1541126055713	1541126055713	nothing
71	Lego	1541126055714	1541126055759	1541126056125	1541126056125	nothing
72	Lego	1541126056126	1541126056165	1541126057149	1541126057162	success
73	Lego	1541126057162	1541126057216	1541126057965	1541126057965	nothing
74	Lego	1541126057965	1541126058022	1541126058784	1541126058785	nothing
75	Lego	1541126058785	1541126058824	1541126059603	1541126059603	nothing
76	Lego	1541126059603	1541126059664	1541126060628	1541126060628	nothing
77	Lego	1541126060628	1541126060663	1541126061446	1541126061446	nothing
78	Lego	1541126061446	1541126061479	1541126062268	1541126062268	nothing
79	Lego	1541126062268	1541126062307	1541126063190	1541126063190	nothing
80	Lego	1541126063190	1541126063217	1541126064006	1541126064007	nothing
81	Lego	1541126064007	1541126064049	1541126064928	1541126064928	nothing
82	Lego	1541126064929	1541126064964	1541126065850	1541126065850	nothing
83	Lego	1541126065850	1541126065884	1541126066669	1541126066669	nothing
84	Lego	1541126066669	1541126066711	1541126067488	1541126067488	nothing
85	Lego	1541126067488	1541126067534	1541126068307	1541126068307	nothing
86	Lego	1541126068307	1541126068343	1541126069132	1541126069132	nothing
87	Lego	1541126069133	1541126069159	1541126069947	1541126069947	nothing
